小图代码,大图代码,顺序,名称,版本,地点,X,Y,天气,天气图片,时间,动作,动作代码,动作图片,备注,位置图片1,位置图片2
081701.tex,081201.tex,77,帝国中央堡,新生篇,摩杜纳,9,13,妖雾,060218.tex,12:00～16:59,张望,/lookout,064022.tex,加雷马帝国军的资源采掘据点。当初奈尔率领第七军团在这里建立起了帝国军新堡，灵灾之后新堡被第十四军团改造成了现在的中央堡。在基地内部还铺有运送矿石的铁路，以及“魔列车”的停车场。,12077,22077
081702.tex,081202.tex,78,水晶塔,新生篇,摩杜纳,27,8,晴朗,060202.tex,18:00～4:59,张望,/lookout,064022.tex,在第七灵灾中突然出现在地表上的水晶巨塔。根据学术组织圣寇伊纳克财团的调查，这座塔本来是古代亚拉戈文明制造的能量收集装置，曾被称作“希尔科斯塔”。,12078,22078
081703.tex,081203.tex,79,早霜顶,新生篇,摩杜纳,18,17,碧空,060201.tex,12:00～16:59,张望,/lookout,064022.tex,飞空战舰阿格里俄斯号的坠落导致这片地区出现了大规模的结晶化现象。甚至草木都变成了结晶的形态，在这里行走会听到脚下传来的咔嚓咔嚓声，仿佛走在寒霜之上。,12079,22079
081704.tex,081204.tex,80,密约之塔,新生篇,摩杜纳,26,11,晴朗,060202.tex,17:00～17:59,坐下,/sit,064054.tex,加雷马帝国军的飞空战舰阿格里俄斯号坠落于此，舰首向下没入了湖中，宛如一尊巨塔。古时起就守护着银泪湖的尘世幻龙的尸体则缠在这艘战舰上面。,12080,22080
081751.tex,081251.tex,1,隼巢,苍天篇,库尔札斯西部高地,32,36,,,,张望,/lookout,064022.tex,位于库尔札斯西部高地的由哨兵的营房发展而来的山村。因第七灵灾后气候极具变冷导致多数居民被冻死，伤亡惨重。曾经为了戒备龙族袭击，村中有驯鹰人常驻并饲养了许多白隼，村名由此而来。,xb,23001
081752.tex,081252.tex,2,交汇河营地,苍天篇,库尔札斯西部高地,20,23,,,,张望,/lookout,064022.tex,伊修加德的骑兵团曾经驻扎的露营地。曾经是配备了以太之光的据点，但灵灾后被废弃了。因坐落于库尔札斯河和奔流江的交汇处，名字中也体现了河流交汇之处的意思。,xb,23002
081753.tex,081253.tex,3,卧龙岛,苍天篇,库尔札斯西部高地,10,18,,,,张望,/lookout,064022.tex,坐落在已冻结成冰的灰烬池上的岛屿。传说为了镇压强大的龙族，教皇厅的法术团用魔法将其催眠，不知何时其周身被灰烬覆盖化作岩石，最终成为了一座岛屿。,xb,23003
081754.tex,081254.tex,4,暮卫塔,苍天篇,库尔札斯西部高地,20,6,,,,张望,/lookout,064022.tex,伊修加德的对龙要塞暮卫塔。尤埃尔默里克指挥官曾率领狄兰达尔家的骑兵团在此驻扎，但在灵灾时城墙的一部分崩塌了。之后因气候极具变冷导致暮卫塔被冰封锁，如今已经成为了魔物的巢穴。,xb,23004
081755.tex,081255.tex,5,戈尔加涅牧场,苍天篇,库尔札斯西部高地,31,4,,,,张望,/lookout,064022.tex,侍奉于狄兰达尔家的骑士戈尔加涅建造的牧场。据说他作为狄兰达尔家长男的武术老师为培养爱徒倾注了心血，在爱徒失踪后万念俱灰决定引退，之后建造了这座牧场。,xb,23005
081756.tex,081256.tex,6,铁杉村,苍天篇,库尔札斯西部高地,36,19,,,,张望,/lookout,064022.tex,位于库尔札斯西部高地的废村。从前是以周边林业为生的樵夫们居住的村落，灵灾后因气候极具变冷而人去楼空。“铁杉村”的村名源于此地区特有的铁杉。,xb,23006
081757.tex,081257.tex,7,大脚雪人居所,苍天篇,库尔札斯西部高地,20,36,,,,张望,/lookout,064022.tex,大脚雪人的居所。由于漏斗形的山崖可以抵御寒风侵袭，大脚雪人便自然而然地聚集到了这里。不过似乎至今还没有强大的头领出现，虽然聚集在一起但并不团结，依旧保持个体的自由行动。,xb,23007
081801.tex,081301.tex,8,唯一脑窟穴,苍天篇,龙堡参天高地,27,36,,,,张望,/lookout,064022.tex,优秀的狩猎民族骨颌族居住的村落。其中遍布由分泌液与土的混合物建造而成的像是蚁穴的房屋。据说建筑物中焚烧了特殊的香草，从烟囱中飘出的烟有驱赶龙族的效果。,gd,23008
081802.tex,081302.tex,9,不洁村落,苍天篇,龙堡参天高地,12,39,,,,张望,/lookout,064022.tex,疑似城市的遗迹。伊修加德教皇厅称这是异端者势力建造的不洁村落，毁灭于战神哈罗妮降下的神罚。至于事实是否如教皇厅所言如今还没有定论。,gd,23009
081803.tex,081303.tex,10,不洁三塔,苍天篇,龙堡参天高地,16,23,,,,张望,/lookout,064022.tex,被伊修加德正教视为魔女们建造的异端之塔。其中配备了可供人类和龙族停泊的设备，建筑风格极为罕见。现在已经成为了龙族的居所。,gd,23010
081804.tex,081304.tex,11,悲叹飞泉,苍天篇,龙堡参天高地,29,6,,,,张望,/lookout,064022.tex,曾是坐落于索姆阿尔灵峰山脚的巨大古代建筑物。如今已被破坏并被河流吞没，是魔物和野兽的珍贵水源。龙族为了捕捉魔物和野兽也会在此出没。,gd,23011
081805.tex,081305.tex,12,光轮祭坛,苍天篇,龙堡参天高地,8,6,,,,祈祷,/pray,064064.tex,位于流淌着岩浆的彻悟岩窟底端的祭坛。摆放着依照龙族和人类女性雕刻而成的雕像，但人类女性雕像似乎在很久以前就遭到了破坏。从此垂直向上望去，可以看到浮在空中的索姆阿尔灵峰底部。,gd,23012
081806.tex,081306.tex,13,尾羽集落,苍天篇,龙堡参天高地,33,23,,,,张望,/lookout,064022.tex,猎人们的村落，他们为了捕捉野生陆行鸟而来到了秘境——陆行鸟之森。七天树繁茂的树冠挡住了盘旋在上空的龙族的视线，所以人类可以在此处生活。,gd,23013
081807.tex,081307.tex,14,索姆阿尔灵峰,苍天篇,龙堡参天高地,11,13,,,,张望,/lookout,064022.tex,坐落于阿巴拉提亚山脉的艾欧泽亚最高峰。知晓死期的龙族会来到这里，是龙族的终焉之地，也被称为圣地。由巨大的水晶构成，从山腰到山顶都浮在空中，有种极致的美感。,gd,23014
081815.tex,081315.tex,15,莫古力之家,苍天篇,翻云雾海,29,35,,,,张望,/lookout,064022.tex,坐落于艾欧泽亚最高峰索姆阿尔灵峰峰顶的莫古力族的村落。虽然翻云雾海算是龙族的领地，但当地的莫古力族与圣龙赫拉斯瓦尔格立下了盟约，所以可以在此地生活。,fywh,23015
081816.tex,081316.tex,16,龙巢神殿,苍天篇,翻云雾海,29,13,,,,张望,/lookout,064022.tex,邪龙尼德霍格居住的龙巢。在邪龙的魔力的作用下，周边被雷云覆盖无法轻易接近。尼德霍格在结束了数十年至一百年为周期的活动进入休眠期时，似乎会在此处沉睡。,fywh,23016
081817.tex,081317.tex,17,惋惜之晶遗迹,苍天篇,翻云雾海,18,6,,,,张望,/lookout,064022.tex,名字中带有一股哀伤之意的遗迹。被破坏的建筑物有一半被水晶埋没。从结晶量可以推测出，很可能曾有拥有七大天龙级别魔力的生命在此消逝……,fywh,23017
081818.tex,081318.tex,18,天极白垩宫,苍天篇,翻云雾海,7,27,,,,张望,/lookout,064022.tex,坐落于圣龙赫拉斯瓦尔格领地的壮丽的宫殿。和圣龙立下盟约的云海莫古力族会对此地进行维护，但还是敌不过千年的时光，建筑渐渐风化。即便如此，这座建筑依旧拥有着震撼人心的美丽。,fywh,23018
081819.tex,081319.tex,19,人王像,苍天篇,翻云雾海,17,37,,,,祈祷,/pray,064064.tex,坐落在绿茵岛相邻浮岛上的巨大的人物雕像。莫古力族似乎将此像的原型当做地上人类之王，将其称为人王像。不过如今记录早已丢失，不知此像究竟象征何人。,fywh,23019
081820.tex,081320.tex,20,书信之家,苍天篇,翻云雾海,35,20,,,,张望,/lookout,064022.tex,疑似很久很久以前人类与龙族合作建造的建筑物，如今大半已化为瓦砾。因为建筑物中到处刻有文字，所以当地的莫古力族将其称为书信之家。据说千年前的遗物如今仍然遗落在那里。,fywh,23020
081821.tex,081321.tex,21,飞龙港,苍天篇,翻云雾海,23,18,,,,张望,/lookout,064022.tex,莫古力族传说中的空中港口，有许多人为了骑乘双足飞龙而来。建筑物十分坚固，如今依然残留了一部分，但居住在那里的龙族几乎全是会袭击人类的邪龙眷属。,fywh,23021
081851.tex,081351.tex,22,云顶营地,苍天篇,阿巴拉提亚云海,15,37,,,,张望,/lookout,064022.tex,艾因哈特家的蔷薇骑兵团驻扎的据点。为了从高空监视龙族而建立在浮岛上的营地。配备了新造飞空艇捍卫者号，但因为故障不断而毫无战斗力。,yh,23022
081852.tex,081352.tex,23,候鸟云巢,苍天篇,阿巴拉提亚云海,37,40,,,,打盹,/doze,064013.tex,"有一些候鸟会随着季节变化往来于近东地域与艾欧泽亚,为了躲避严寒,那些怪鸟在这里搭建了巢穴,它们在此产卵、养育后代。在雏鸟们学会飞行后便会离开巢穴向东飞去。",yh,23023
081853.tex,081353.tex,24,沃仙曦染,苍天篇,阿巴拉提亚云海,39,21,,,,张望,/lookout,064022.tex,在水属性水晶的作用下由大气中的水分聚集而成的泉水。骑兵们发现这美丽的泉水后，觉得就如同吟游诗人传颂的传说中的美景圣地“沃仙曦染”一般美丽，便以此为名称呼下去。,yh,23024
081854.tex,081354.tex,25,魔窟离岛,苍天篇,阿巴拉提亚云海,13,9,,,,张望,/lookout,064022.tex,魔窟离岛的名字在瓦努语中有着高处的声音的意思。岛上留有一座刻有莫古力族喜欢的图案的石碑，但岛上并没有莫古力族的踪影。不知这里究竟拥有着怎样的历史。,yh,23025
081855.tex,081355.tex,26,落羽大房,苍天篇,阿巴拉提亚云海,18,27,,,,张望,/lookout,064022.tex,瓦努族的圣地之一，据讲述传说的人所说，这里曾飘落下云神俾斯麦的羽毛。如今温杜族长老的宅邸建立在此地作为其权利的象征。,yh,23026
081856.tex,081356.tex,27,瓦纳温杜集落,苍天篇,阿巴拉提亚云海,25,23,,,,张望,/lookout,064022.tex,瓦努族主要氏族温杜族的根据地。“瓦纳”在瓦努语中有“高处”的意思。当地居民认为越高的地方越容易将自己的声音传达给云神，所以高海拔的地方对他们来说有着重要的意义。,yh,23027
081857.tex,081357.tex,28,亨格坩埚,苍天篇,阿巴拉提亚云海,38,11,,,,张望,/lookout,064022.tex,位于阿巴拉提亚云海东部有着奇怪形状的浮岛。在发现了这座浮岛的伊修加德骑士眼中，这座浮岛形状和库尔札斯地区的童谣中的魔女亨格所用的坩埚很像，便将其命名为亨格坩埚。现在是巨嘴鸟的栖息地。,yh,23028
081808.tex,081308.tex,29,宗匠大工房,苍天篇,龙堡内陆低地,40,21,,,,张望,/lookout,064022.tex,曾是聚集了萨雷安工匠的大工房。此地曾经生产过以太之光。但是如今被企图独占知识的哥布林族科学家组织青蓝之手占领，似乎他们正在将此地改造成要塞。,dd,23029
081809.tex,081309.tex,30,萨雷安治学区,苍天篇,龙堡内陆低地,17,23,,,,张望,/lookout,064022.tex,萨雷安辖区中沙利亚克河西岸的地区。曾经有许多研究员和学者聚集在此地区。圣茉夏娜植物园等研究以及教育机关也集中在此。曾经充满了学术城邦的气息。,dd,23030
081810.tex,081310.tex,31,先贤伟业纪念碑,苍天篇,龙堡内陆低地,22,27,,,,张望,/lookout,064022.tex,为了纪念那些逝去的将知识传承下去的先人们，为了铭记他们的伟业而建造的大石碑。上面铭刻了知识之都萨雷安的格言“知识不求人”以及历代大贤人的名字。,dd,23031
081811.tex,081311.tex,32,知识神水瓶,苍天篇,龙堡内陆低地,10,35,,,,张望,/lookout,064022.tex,沙利亚克河的大瀑布。阿巴拉提亚山脉的积雪溶化后成为了地下水，与山下无数的支流汇合流入低地形成一条大河。其名字由知识神沙利亚克拥有的可以生成知识之水的魔法水瓶而来。,dd,23032
081812.tex,081312.tex,33,迦巴勒幻想图书馆,苍天篇,龙堡内陆低地,28,37,,,,张望,/lookout,064022.tex,殖民城市萨雷安为保管各地集聚的知识而建造的大图书馆。在大撤退时重要的资料都被带回了北洋的祖国，不过现在地下的禁书库中依旧保管着少量书籍。,dd,23033
081813.tex,081313.tex,34,奥恩原生林,苍天篇,龙堡内陆低地,32,11,,,,张望,/lookout,064022.tex,延伸在龙堡内陆低地北部的原生林。水量丰富的沙利亚克河滋润着当地的土地，保留了原汁原味的自然生态。如果想不经由龙堡参天高地前往萨雷安，就需要沿河而上穿过这片原生林。,dd,23034
081814.tex,081314.tex,35,圣茉夏娜植物园,苍天篇,龙堡内陆低地,13,21,,,,张望,/lookout,064022.tex,萨雷安人建立的植物园的遗址。内部的温室中栽培着从世界各地采集而来的植物和草木纲的魔物，人们在此进行各种各样的学术研究。不过植物园在大撤退时被废弃，现在没有任何人在管理。,dd,23035
081858.tex,081358.tex,36,飞空战舰格拉提翁号,苍天篇,魔大陆阿济兹拉,39,17,,,,张望,/lookout,064022.tex,加雷马帝国第六军团的旗舰。是与飞空战舰阿格里俄斯号同型号的战舰。受到冰神希瓦的拼死攻击后，舰载青磷炉被带有魔力的冰包裹住而陷入了无法航行的状态。,mdl,23036
081859.tex,081359.tex,37,无限回廊,苍天篇,魔大陆阿济兹拉,33,35,,,,张望,/lookout,064022.tex,古代亚拉戈帝国的博物战舰。为将这千年大帝国的遗产永远地保存下来而建造了这艘战舰。据说其内部保留着从日用品到最新军用兵器等各种物品，甚至还有极其危险的魔科学产物。,mdl,23037
081860.tex,081360.tex,38,对偶处刑台,苍天篇,魔大陆阿济兹拉,6,30,,,,张望,/lookout,064022.tex,被囚禁的七大天龙之中的暗龙提亚马特。过去曾与光龙巴哈姆特一起在南方大陆生活，但在和亚拉戈帝国军的战斗中败北。至今依然在后悔将因反抗而死的光龙作为蛮神召唤出来。,mdl,23038
081861.tex,081361.tex,39,魔科学研究所,苍天篇,魔大陆阿济兹拉,10,35,,,,张望,/lookout,064022.tex,古代亚拉戈帝国的研究设施。曾在这里进行过封锁龙族行动的拘束装置的开发以及对蛮神封印系统的研究。也曾进行过对蛮神兵器的研究，研究所内部潜伏着许多被废弃的实验体。,mdl,23039
081862.tex,081362.tex,40,螺旋港,苍天篇,魔大陆阿济兹拉,6,9,,,,张望,/lookout,064022.tex,阿济兹拉配备的巨大港湾设施。由导航系统的解说得知，似乎是可以容纳诸神黄昏级拘束舰等级的巨大舰艇的港湾设施。据说过去在设施中存在着更多的对接环。,mdl,23040
081863.tex,081363.tex,41,隔离实验岛,苍天篇,魔大陆阿济兹拉,9,21,,,,张望,/lookout,064022.tex,位于魔大陆阿济兹拉一角的浮岛。整座浮岛就是一个隔离未能达到魔科学部安全基准的危险合成生物的设施。根据记录可知，这里似乎曾经是进行作物品种改良的农业研究所。,mdl,23041
081864.tex,081364.tex,42,重组实验室,苍天篇,魔大陆阿济兹拉,30,11,,,,张望,/lookout,064022.tex,亚拉戈帝国魔科学部旗下的研究设施，进行了各种合成生物的开发。根据导航系统的解说可以得知，这里以进行非常安全且独特的实验而备受好评，但却让人禁不住对此番言论深表怀疑。,mdl,23042
081758.tex,081258.tex,43,征龙像,苍天篇,库尔札斯西部高地,32,28,,,,鼓励,/rally,064034.tex,为称颂初代苍天之龙骑士——征龙将哈尔德拉斯而建造的巨大石像，是由女雕刻家佩瑟勒耗费晚年30余年的时间制造而成的杰作。其艺术技巧和历史价值之高，直到其建成后150余年的今天，依然无出其右。,xb,23043
081759.tex,081259.tex,44,黑铁大桥,苍天篇,库尔札斯西部高地,29,23,,,,张望,/lookout,064022.tex,作为连结皇都和暮卫塔的补给通路，由泽梅尔家建造而成的石吊桥。桥身以即使被龙族的吐息所灼烧也不会断裂的黑铁锁链为材料，因此而得名“黑铁大桥”。,xb,23044
081760.tex,081260.tex,45,龙涎,苍天篇,库尔札斯西部高地,9,10,,,,坐下,/sit,064054.tex,传说是因为龙族所喷吐的灼热吐息而形成的温泉。在寒冷化逐渐加剧的如今，纯天然温泉已是十分稀少，所以常有野生生物为取暖而来到这里。此外，该温泉的疗效也受到了骑兵们的青睐。,xb,23045
081761.tex,081261.tex,46,板岩连峰,苍天篇,库尔札斯西部高地,12,8,,,,展示,/me,064023.tex,此地由于可以采集到优质的粘板岩，故而得名“板岩连峰”。3年前，计划在此地筑起炮台阵地的泽梅尔家骑兵团与意图阻止的毒龙库耶列布希曾在此地展开过一场壮烈的激斗。,xb,23046
081822.tex,081322.tex,47,宽慰河,苍天篇,龙堡参天高地,23,39,,,,张望,/lookout,064022.tex,据当地猎人的说法，为了祭奠成为龙族牺牲品的野兽们，才将这条河命名为“宽慰之河”。而异端者们却主张说这里是用来抚慰曾经人类与龙族的诀别的场所。,gd,23047
081823.tex,081323.tex,48,自由脑窟穴,苍天篇,龙堡参天高地,24,18,,,,张望,/lookout,064022.tex,由通称“离群一族”的少数派骨颌族所建立的小型集落。“自由脑”指的即是精神没有连结在一起的骨颌族。他们与精神互相连接的“同心一族”不同，个体之间有着各自的个性。,gd,23048
081824.tex,081324.tex,49,悄声小道,苍天篇,龙堡参天高地,34,15,,,,张望,/lookout,064022.tex,古代街道的遗址，由于年久失修，过去由石材铺设而成的道路半数已经化为了沙地路。由于踩在沙地路上发出的沙沙声会惊动猎物，尾羽集落的猎人们才将此地命名为“悄声小道”。,gd,23049
081825.tex,081325.tex,50,龙人路,苍天篇,龙堡参天高地,18,32,,,,张望,/lookout,064022.tex,通往不洁三塔的大道。过去曾被叫做“德拉·艾拉”，在龙族的语言中意为“龙与人的街道”，代表着人类与龙族的共同繁荣。而在两种族已然决裂的现如今，这个名称已经失去了意义。,gd,23050
081829.tex,081329.tex,51,无名的龙雕像,苍天篇,翻云雾海,34,32,,,,祈祷,/pray,064064.tex,静静耸立于翻云雾海一角的石像。建造该石像的原委和经过至今不明，只有一行以古伊修加德文字写在其基部的铭文仍然隐约可见：“纪念雄壮的苍蓝之翼”。,fywh,23051
081830.tex,081330.tex,52,人王遗迹,苍天篇,翻云雾海,37,14,,,,张望,/lookout,064022.tex,邪龙尼德霍格被人类所背叛，在狂怒之下造成巨大破坏的遗迹。居住于云海的莫古力族认为这里是“地上人类之王”居住过的遗址，至于是真是假就不得而知了。,fywh,23052
081831.tex,081331.tex,53,最高大的树,苍天篇,翻云雾海,14,25,,,,张望,/lookout,064022.tex,莫古力族认为这棵古树是翻云雾海所有树木的“父亲”。据推测，其树龄至少超过1000年，早在人类与龙族的争斗开始前就一直守护着这片云海了。,fywh,23053
081865.tex,081365.tex,54,寒风岛,苍天篇,阿巴拉提亚云海,6,5,,,,张望,/lookout,064022.tex,位于尊杜集落西北方的小型浮岛，瓦努族讲述传说的人称其为“乘云起风之岛”。在过去人类和瓦努族有交流的时候，蔷薇骑兵团的骑兵根据瓦努族的叫法，将该岛命名为“寒风岛”。,yh,23054
081866.tex,081366.tex,55,破碎脊骨,苍天篇,阿巴拉提亚云海,26,6,,,,张望,/lookout,064022.tex,受到北方强烈季节风的侵蚀作用而形成的外形奇特的浮岛。由于看上去像是怪物的骨骼一般令人毛骨悚然，因此在伊修加德骑兵之间都称呼此岛为“破碎的脊骨”。,yh,23055
081867.tex,081367.tex,56,起源岛,苍天篇,阿巴拉提亚云海,9,28,,,,张望,/lookout,064022.tex,蔷薇骑兵团的骑兵玛丽埃勒在前往云顶营地赴任时，在飞空艇甲板上从上空发现的一座心形浮岛。她怀抱着“希望这里能成为‘恋人间爱的起源之地’”的想法，将该岛命名为“起源岛”。,yh,23056
081826.tex,081326.tex,57,沙利亚克大瀑布,苍天篇,龙堡内陆低地,12,13,,,,张望,/lookout,064022.tex,沙利亚克河流向北方的奥恩原生林途中形成的宏伟瀑布。过去在学生之间曾经非常流行一种“极限游近大瀑布”的试胆比赛，但很快就因过于危险而被明令禁止了。,dd,23057
081827.tex,081327.tex,58,硕学之路,苍天篇,龙堡内陆低地,19,38,,,,张望,/lookout,064022.tex,通往迦巴勒幻想图书馆的巨大石桥。受到第七灵灾时发生的地壳变动影响而坍塌，现在已是残垣断壁。而在过去，曾有众多司书、学生以及研究者通过这座桥往来于图书馆。,dd,23058
081828.tex,081328.tex,59,小刀石柱群,苍天篇,龙堡内陆低地,30,31,,,,张望,/lookout,064022.tex,像小刀般尖锐的石柱林立的石柱群。起初由于地名过于直白，在萨雷安的学士之间引起了激烈的争论。结果由于提案像当地的石柱数量一样多，最终也没能改名。,dd,23059
081868.tex,081368.tex,60,水晶增殖炉,苍天篇,魔大陆阿济兹拉,10,14,,,,张望,/lookout,064022.tex,旨在利用三斗神的能力，将合成生物的生命能量结晶化，从而增殖水晶的幻之永久机关。这里曾经进行过用生产出的水晶进而培养合成生物，通过循环来获得无限力量的研究。,mdl,23060
081869.tex,081369.tex,61,生体培养局,苍天篇,魔大陆阿济兹拉,35,6,,,,张望,/lookout,064022.tex,亚拉戈帝国魔科学部旗下的合成生物培养设施。该设施接收魔科学研究所等各地研究机关的各种“独创性的委托”，培养各种各样的实验生物。与作为其附属设施的人工诱变所相邻接。,mdl,23061
081870.tex,081370.tex,62,古代大教堂,苍天篇,魔大陆阿济兹拉,25,28,,,,张望,/lookout,064022.tex,南方大陆“美拉西迪亚”风格的古代大教堂。似乎是南方大陆的树状种族为了祭祀三斗神之一的魔神萨菲洛特而建造的。亚拉戈人为了研究信仰和蛮神之间的关联，而将该教堂迁移了过来。,mdl,23062
081526.tex,081026.tex,1,威罗迪纳基地,红莲篇,基拉巴尼亚边区,21,26,,,,张望,/lookout,064022.tex,加雷马帝国设在威罗迪纳大桥上的物资中转基地，位于威罗迪纳河之上。连接着军事设施众多的山区与封锁了艾欧泽亚的巴埃萨长城。中央那座巨大的塔是飞空艇的系留塔。,bq,24001
081527.tex,081027.tex,2,幻我园,红莲篇,基拉巴尼亚边区,24,16,,,,张望,/lookout,064022.tex,约300年前由拉尔戈星导教高僧海伊马特开拓的僧园。“幻我”这个词由古代玛哈语而来，意思是“自己的幻景”，这就表示了这里是直面自己的幻影从而磨炼身心的地方。,bq,24002
081528.tex,081028.tex,3,开宗堂,红莲篇,基拉巴尼亚边区,23,7,,,,张望,/lookout,064022.tex,很久很久以前，一个想要接近破坏神拉尔戈的男子开始了用拳头击打岩石山的修行，几十年后，他终于将岩山石击出了一个大洞。这位无名修炼者就是星导教的第一位武僧，而这里也被后人当成了教义的开创之地，并建造了这个祠堂。,bq,24003
081529.tex,081029.tex,4,帝国东方堡,红莲篇,基拉巴尼亚边区,9,10,,,,张望,/lookout,064022.tex,加雷马帝国建立的据点。原本是巴埃萨长城的建设据点，在第七灵灾后盖乌斯再次侵略艾欧泽亚的时候，被提升为了扩建后的帝国堡。现在位于双蛇党的管辖之下。,bq,24004
081530.tex,081030.tex,5,昏暗林,红莲篇,基拉巴尼亚边区,8,26,,,,张望,/lookout,064022.tex,位于东境混交林南部的大片阴暗的森林。在提蒙河流淌而来的河水与各处涌出的地下水的影响下，森林中常年弥漫着湿漉漉的雾气。因此，无论白天还是夜晚都十分昏暗。,bq,24005
081531.tex,081031.tex,6,天母寝宫,红莲篇,基拉巴尼亚边区,36,16,,,,张望,/lookout,064022.tex,阿难陀族建筑的泥城。据说地下有供奉美神吉祥天女的地下神殿，因此人们才会将这里命名为阿难陀语的“天母寝宫”。现在则被主流派的伽黎亚派占据着。,bq,24006
081532.tex,081032.tex,7,对等石,红莲篇,基拉巴尼亚边区,30,25,,,,张望,/lookout,064022.tex,梅氏的逐日之民们居住的村落。为了能够将猎物和入侵者尽收眼底，他们将村落建在了可以展望整个地盘的岩石山之上。在帝国的支配下，猎户们逐渐被视为野蛮者，处境十分艰辛。,bq,24007
081533.tex,081033.tex,8,藏泪丘,红莲篇,基拉巴尼亚山区,33,10,,,,张望,/lookout,064022.tex,悼念死者的地方。背后有飞流直下的瀑布，隆隆的声音响彻云霄，可以掩盖哭声；飞溅的水珠迎面扑来，可以隐藏泪水。但是在帝国长年的支配下，宗教活动全部被禁止，人们甚至无法自由地祭奠死者。,sq,24008
081534.tex,081034.tex,9,寒炉村,红莲篇,基拉巴尼亚山区,27,36,,,,张望,/lookout,064022.tex,伫立在基拉巴尼亚山区深山之处的贫寒村落。因为土地贫瘠收成不好，自古以来靠年轻人外出当佣兵赚钱勉强维持生计。也是阿拉米格的猛牛——劳班·阿尔丁出生的故乡。,sq,24009
081535.tex,081035.tex,10,纽恩克雷夫的方舟,红莲篇,基拉巴尼亚山区,22,32,,,,张望,/lookout,064022.tex,在大洪水袭击艾欧泽亚的第六灵灾发生时，北洋出身的纽恩克雷夫为了拯救人们建造了这只方舟。它救起了一个个遭遇海啸漂浮在海上的人们后，整条船都被魔法传送走了，最终漂到了这个地方。,sq,24010
081536.tex,081036.tex,11,阿拉加纳,红莲篇,基拉巴尼亚山区,25,5,,,,张望,/lookout,064022.tex,位于基拉巴尼亚山区北部的村落。过去因采矿业而繁荣一时，连装饰阿拉米格王宫的美丽石材都是由这个村落的凿石匠凿下来的。然而，现在却面对着产业衰退的危机。,sq,24011
081537.tex,081037.tex,12,御制监望塔,红莲篇,基拉巴尼亚山区,19,23,,,,张望,/lookout,064022.tex,加雷马帝国军的巨大监视塔。主塔是为了监视其行省基拉巴尼亚而最先建造的，之后又加入了为了再次侵略艾欧泽亚而增建的通讯塔以及为了启动究极神兵而增建的能量塔。,sq,24012
081538.tex,081038.tex,13,赎罪之腕,红莲篇,基拉巴尼亚山区,8,37,,,,张望,/lookout,064022.tex,只要修身养性，就可以赎清罪孽。在拉尔戈星导教的这则教义下，人们建造了这个地方来让犯罪者赎罪。据说只要在这间寺院进行七年的严酷修行，无论犯过多么深重的罪都会得到破坏神的宽恕。,sq,24013
081539.tex,081039.tex,14,赤红神塔,红莲篇,基拉巴尼亚山区,18,14,,,,张望,/lookout,064022.tex,在第六灵灾末期至第六星历初期建造的遗迹。据说是由来自无限城与玛哈，这两个过去曾经过立的魔法城邦的魔法师们为了平息灵灾造成的混乱气候而建造的，类似于地脉镇石的建筑。,sq,24014
081540.tex,081040.tex,15,启程回廊,红莲篇,基拉巴尼亚山区,7,7,,,,张望,/lookout,064022.tex,据说很久以前，在拉尔戈星导教的总部结束了修行的武僧在这条回廊进行了启程的仪式。当时包括星导山寺院的参拜者在内，有很多人造访这里，曾经热闹一时。但在废王泰奥德里克的命令下，现在早已被烧成了一片废墟。,sq,24015
081541.tex,081041.tex,16,要塞城邦阿拉米格,红莲篇,基拉巴尼亚湖区,23,33,,,,张望,/lookout,064022.tex,第六星历1135年，统一了基拉巴尼亚地区的霸王安兹海尔姆为了迎击从伊尔萨巴德大陆流入的势力而建造的要塞城邦。在加雷马帝国的统治之下，行省总督府被设置在了这里，这也是帝国支配的象征。,hq,24016
081542.tex,081042.tex,17,阿拉米格人居住区,红莲篇,基拉巴尼亚湖区,35,33,,,,张望,/lookout,064022.tex,要塞城邦阿拉米格南部的居住区。为了配合人口的增长而最新扩建的区域，因此距离王宫十分遥远，从建立起就被当成了苦力街。在帝国的统治下，似乎已经变成了没有市民权的人居住的地方。,hq,24017
081543.tex,081043.tex,18,望云塔,红莲篇,基拉巴尼亚湖区,13,35,,,,张望,/lookout,064022.tex,为了监视云海而设置在城邦与北州伊尔萨巴德大陆之间的塔。一旦发现入侵者，就会从塔的顶层放出带火的箭，通知城邦有危险。但是，在帝国的支配下却从来没有使用过。,hq,24018
081544.tex,081044.tex,19,圣礼拜台,红莲篇,基拉巴尼亚湖区,20,16,,,,祈祷,/pray,064064.tex,为了参拜矗立在盐湖的破坏神拉尔戈像而设的礼拜台。只要登上最顶层，就可以在破坏神面前献上祈祷。在废王泰奥德里克的统治下，也是一个被当作刑场使用的恶名昭彰的地方。,hq,24019
081545.tex,081045.tex,20,地下水路,红莲篇,基拉巴尼亚湖区,33,30,,,,张望,/lookout,064022.tex,为了将盐湖的水引入阿拉米格城市内而开辟的水路。人们将在这里取到的盐水蒸馏成淡水后加以饮用。因为帝国安设了魔导式水道的缘故，现在几乎没有人再来这里了。,hq,24020
